order_id,product_id,quantity,discount
O00038,P0185,1,0.1
O00039,P0047,5,0.0
O00039,P0056,1,0.1
O00040,P0048,2,0.0
O00040,P0008,1,0.05
O00041,P0133,1,0.0
O00041,P0150,1,0.0
O00041,P0173,1,0.05
O00042,P0035,1,0.0
O00043,P0071,1,0.0
O00043,P0026,3,0.0
O00044,P0017,2,0.05
O00044,P0143,1,0.05
O00045,P0022,1,0.05
O00046,P0015,4,0.0
O00047,P0129,3,0.05
O00048,P0147,4,0.05
O00048,P0136,1,0.1
O00049,P0048,2,0.1
O00050,P0041,1,0.05
O00050,P0011,3,0.05
O00050,P0080,1,0.05
O00050,P0074,3,0.0
O00051,P0141,1,0.1
O00052,P0131,1,0.1
O00053,P0061,1,0.1
O00054,P0081,2,0.2
O00055,P0165,2,0.0
O00055,P0029,2,0.05
O00056,P0057,2,0.0
O00056,P0051,1,0.1
O00057,P0037,1,0.05
O00057,P0008,1,0.0
O00057,P0030,1,0.0
O00058,P0130,3,0.0
O00058,P0128,1,0.0
O00059,P0013,3,0.0
O00059,P0019,2,0.0
O00059,P0161,2,0.05
O00060,P0128,2,0.05
O00060,P0092,1,0.0
O00060,P0129,1,0.0
O00061,P0004,1,0.1
O00062,P0052,1,0.0
O00062,P0001,3,0.1
O00063,P0015,4,0.2
O00063,P0126,1,0.0
O00064,P0176,1,0.0
O00064,P0066,4,0.0
O00065,P0051,4,0.15
O00066,P0117,2,0.2
O00067,P0058,2,0.05
O00067,P0045,2,0.0
O00068,P0070,1,0.05
O00068,P0138,2,0.1
O00068,P0159,3,0.05
O00069,P0167,1,0.05
O00069,P0114,3,0.1
O00070,P0079,5,0.2
O00071,P0113,2,0.0
O00072,P0193,2,0.1
O00072,P0199,1,0.0
O00073,P0200,2,0.1
O00074,P0110,1,0.05
O00074,P0081,1,0.05
O00074,P0192,2,0.05
O00075,P0184,3,0.1
O00076,P0086,2,0.1
O00076,P0114,3,0.1
O00077,P0163,1,0.0
O00077,P0098,1,0.05
O00077,P0020,2,0.05
O00078,P0166,3,0.0
O00079,P0165,2,0.15
O00079,P0099,2,0.2
O00079,P0126,1,0.0
O00080,P0096,1,0.0
O00080,P0005,2,0.0
O00081,P0092,4,0.0
O00081,P0091,1,0.0
O00081,P0053,5,0.0
O00082,P0105,1,0.05
O00082,P0121,5,0.0
O00082,P0102,2,0.15
O00083,P0091,1,0.0
O00084,P0169,2,0.0
O00085,P0074,1,0.0
O00085,P0140,1,0.05
O00086,P0028,2,0.2
O00086,P0117,2,0.2
O00087,P0081,1,0.05
O00088,P0034,1,0.05
O00088,P0109,2,0.0
O00088,P0188,3,0.05
O00089,P0157,2,0.1
O00090,P0083,1,0.0
O00090,P0163,1,0.05
O00091,P0087,4,0.2
O00092,P0120,4,0.05
O00092,P0023,1,0.0
O00093,P0172,1,0.0
O00094,P0170,1,0.1
O00094,P0081,1,0.0
O00095,P0172,1,0.15
O00095,P0156,4,0.05
O00096,P0020,1,0.0
O00097,P0077,1,0.0
O00098,P0006,1,0.05
O00098,P0137,1,0.05
O00099,P0153,1,0.05
O00100,P0047,3,0.15
O00101,P0113,4,0.0
O00101,P0055,1,0.0
O00102,P0023,1,0.0
O00103,P0186,1,0.0
O00103,P0042,3,0.05
O00104,P0010,2,0.1
O00104,P0153,5,0.05
O00105,P0164,1,0.1
O00105,P0185,1,0.0
O00106,P0011,1,0.1
O00107,P0153,1,0.1
O00107,P0093,1,0.1
O00108,P0181,2,0.0
O00108,P0114,2,0.0
O00109,P0128,3,0.0
O00109,P0032,1,0.0
O00110,P0099,1,0.1
O00111,P0106,2,0.15
O00111,P0045,1,0.05
O00112,P0035,1,0.1
O00112,P0051,1,0.05
O00113,P0057,1,0.0
O00113,P0062,2,0.05
O00114,P0081,1,0.0
O00114,P0109,1,0.0
O00114,P0165,1,0.1
O00115,P0008,3,0.0
O00115,P0119,1,0.05
O00116,P0124,1,0.05
O00117,P0161,3,0.0
O00117,P0162,1,0.0
O00118,P0016,3,0.0
O00119,P0172,1,0.05
O00120,P0151,1,0.1
O00120,P0014,4,0.1
O00120,P0122,2,0.05
O00121,P0151,3,0.15
O00121,P0096,2,0.1
O00121,P0045,4,0.0
O00122,P0143,2,0.15
O00122,P0172,1,0.0
O00123,P0039,2,0.05
O00124,P0016,2,0.05
O00125,P0108,2,0.0
O00126,P0124,1,0.1
O00126,P0061,1,0.15
O00126,P0088,1,0.0
O00127,P0067,1,0.1
O00127,P0055,1,0.0
O00128,P0062,2,0.05
O00129,P0102,2,0.0
O00130,P0050,2,0.0
O00130,P0001,1,0.0
O00130,P0019,1,0.0
O00130,P0017,1,0.05
O00131,P0064,5,0.1
O00132,P0016,4,0.15
O00132,P0073,2,0.0
O00132,P0019,2,0.15
O00132,P0124,2,0.1
O00133,P0020,1,0.15
O00133,P0133,1,0.05
O00134,P0152,1,0.1
O00135,P0185,1,0.0
O00135,P0181,1,0.0
O00136,P0053,5,0.0
O00136,P0114,2,0.05
O00137,P0117,2,0.0
O00137,P0123,1,0.1
O00138,P0180,1,0.1
O00138,P0127,1,0.05
O00139,P0152,1,0.0
O00139,P0099,2,0.0
O00139,P0038,1,0.05
O00140,P0107,1,0.05
O00141,P0061,4,0.0
O00141,P0042,4,0.1
O00141,P0196,1,0.05
O00141,P0137,1,0.05
O00142,P0064,4,0.15
O00142,P0167,3,0.0
O00143,P0179,2,0.0
O00143,P0126,2,0.05
O00144,P0098,1,0.05
O00144,P0051,3,0.1
O00144,P0028,3,0.05
O00145,P0184,2,0.1
O00145,P0134,3,0.05
O00146,P0109,4,0.0
O00146,P0065,2,0.0
O00147,P0177,2,0.05
O00147,P0070,1,0.1
O00148,P0190,1,0.1
O00148,P0117,4,0.1
O00149,P0062,1,0.1
O00149,P0142,2,0.0
O00149,P0098,1,0.0
O00150,P0164,1,0.0
O00151,P0012,2,0.1
O00152,P0042,2,0.05
O00152,P0035,5,0.05
O00153,P0191,1,0.1
O00153,P0174,1,0.05
O00154,P0028,2,0.1
O00154,P0123,1,0.15
O00154,P0128,1,0.05
O00155,P0044,4,0.05
O00156,P0130,1,0.05
O00156,P0111,1,0.05
O00157,P0102,1,0.0
O00157,P0132,3,0.15
O00158,P0042,1,0.1
O00158,P0007,1,0.0
O00159,P0117,2,0.0
O00160,P0100,2,0.1
O00161,P0072,2,0.05
O00162,P0050,2,0.05
O00162,P0048,3,0.15
O00163,P0054,1,0.15
O00163,P0096,2,0.1
O00164,P0003,1,0.0
O00164,P0194,1,0.0
O00165,P0160,2,0.0
O00165,P0172,2,0.05
O00166,P0045,1,0.0
O00166,P0017,5,0.0
O00167,P0062,1,0.0
O00167,P0115,1,0.0
O00168,P0098,1,0.1
O00169,P0052,1,0.1
O00170,P0040,3,0.0
O00171,P0050,1,0.05
O00172,P0076,2,0.15
O00172,P0165,3,0.05
O00173,P0112,2,0.05
O00173,P0107,1,0.2
O00173,P0094,1,0.0
O00174,P0147,2,0.0
O00175,P0095,1,0.05
O00175,P0118,1,0.0
O00175,P0076,2,0.1
O00176,P0149,3,0.2
O00176,P0112,2,0.0
O00176,P0029,1,0.1
O00177,P0137,1,0.1
O00178,P0059,2,0.1
O00178,P0119,1,0.0
O00179,P0102,1,0.05
O00180,P0033,3,0.0
O00181,P0140,1,0.1
O00181,P0003,2,0.05
O00181,P0066,2,0.0
O00181,P0101,1,0.0
O00182,P0175,2,0.0
O00183,P0035,2,0.05
O00184,P0020,1,0.0
O00184,P0105,2,0.0
O00184,P0195,1,0.1
O00185,P0097,3,0.15
O00185,P0127,3,0.0
O00186,P0163,4,0.0
O00186,P0147,1,0.15
O00187,P0058,2,0.05
O00187,P0110,2,0.0
O00188,P0183,4,0.05
O00188,P0018,4,0.0
O00189,P0094,2,0.2
O00189,P0167,2,0.15
O00189,P0175,1,0.0
O00190,P0195,1,0.05
O00190,P0029,1,0.15
O00191,P0010,5,0.0
O00191,P0008,2,0.15
O00192,P0005,1,0.05
O00192,P0171,3,0.0
O00192,P0114,1,0.0
O00192,P0020,1,0.0
O00193,P0032,4,0.15
O00194,P0057,1,0.1
O00194,P0155,4,0.05
O00194,P0115,2,0.2
O00195,P0156,2,0.0
O00195,P0134,5,0.1
O00196,P0194,5,0.0
O00197,P0117,1,0.15
O00197,P0168,2,0.05
O00197,P0183,5,0.0
O00198,P0172,1,0.0
O00198,P0055,2,0.0
O00199,P0125,1,0.0
O00199,P0161,1,0.1
O00200,P0078,5,0.0
O00201,P0030,1,0.05
O00202,P0161,4,0.0
O00203,P0060,1,0.15
O00204,P0160,2,0.0
O00204,P0122,1,0.0
O00204,P0147,2,0.05
O00205,P0105,2,0.05
O00205,P0075,1,0.05
O00205,P0065,3,0.0
O00206,P0191,1,0.0
O00206,P0040,2,0.0
O00206,P0028,1,0.05
O00207,P0033,3,0.05
O00207,P0103,1,0.15
O00208,P0081,2,0.1
O00208,P0008,3,0.0
O00208,P0126,2,0.0
O00209,P0005,2,0.05
O00209,P0025,4,0.05
O00209,P0098,2,0.1
O00209,P0139,1,0.05
O00210,P0151,1,0.05
O00211,P0097,2,0.05
O00212,P0008,2,0.0
O00213,P0124,2,0.05
O00214,P0008,2,0.05
O00214,P0020,2,0.15
O00214,P0136,2,0.0
O00214,P0109,2,0.0
O00215,P0076,1,0.1
O00216,P0118,1,0.0
O00216,P0092,1,0.1
O00217,P0189,1,0.0
O00218,P0068,1,0.05
O00218,P0075,3,0.0
O00218,P0127,4,0.0
O00219,P0069,2,0.05
O00220,P0165,2,0.05
O00220,P0161,2,0.0
O00220,P0164,1,0.1
O00221,P0021,1,0.0
O00222,P0178,1,0.0
O00223,P0066,1,0.0
O00224,P0138,1,0.15
O00225,P0071,2,0.0
O00225,P0140,2,0.0
O00225,P0022,2,0.0
O00226,P0022,1,0.1
O00227,P0120,2,0.0
O00227,P0062,2,0.1
O00228,P0065,3,0.15
O00229,P0006,2,0.0
O00229,P0080,1,0.15
O00229,P0180,1,0.05
O00229,P0187,3,0.0
O00230,P0141,1,0.0
O00230,P0197,4,0.0
O00230,P0076,1,0.05
O00231,P0131,2,0.1
O00231,P0182,2,0.1
O00232,P0004,1,0.0
O00233,P0186,1,0.05
O00234,P0041,3,0.0
O00234,P0105,1,0.0
O00235,P0028,1,0.05
O00235,P0120,1,0.1
O00235,P0047,1,0.15
O00236,P0039,1,0.15
O00237,P0119,1,0.05
O00238,P0008,1,0.0
O00238,P0032,1,0.1
O00238,P0168,1,0.05
O00239,P0181,3,0.0
O00239,P0162,1,0.1
O00240,P0194,1,0.1
O00241,P0080,1,0.0
O00241,P0117,5,0.0
O00242,P0189,1,0.0
O00242,P0094,1,0.05
O00243,P0027,2,0.0
O00244,P0092,1,0.0
O00245,P0011,1,0.0
O00246,P0072,2,0.0
O00247,P0186,1,0.05
O00247,P0063,5,0.1
O00248,P0152,3,0.0
O00248,P0158,2,0.0
O00249,P0131,1,0.05
O00249,P0008,4,0.0
O00250,P0159,1,0.05
O00251,P0092,2,0.0
O00252,P0126,1,0.2
O00252,P0147,1,0.0
O00253,P0120,1,0.0
O00253,P0123,3,0.0
O00254,P0106,5,0.05
O00255,P0030,1,0.05
O00256,P0039,2,0.0
O00257,P0200,2,0.05
O00258,P0119,1,0.0
O00259,P0182,2,0.1
O00260,P0102,3,0.0
O00260,P0120,1,0.0
O00260,P0083,1,0.05
O00260,P0049,1,0.1
O00261,P0114,1,0.0
O00261,P0143,1,0.05
O00261,P0004,1,0.0
O00262,P0141,3,0.1
O00262,P0084,1,0.1
O00263,P0121,1,0.05
O00263,P0048,3,0.05
O00264,P0076,2,0.1
O00265,P0040,1,0.05
O00265,P0096,4,0.1
O00266,P0155,4,0.0
O00267,P0050,1,0.05
O00267,P0125,1,0.05
O00268,P0007,3,0.15
O00268,P0138,4,0.0
O00269,P0125,4,0.1
O00270,P0133,1,0.05
O00270,P0183,1,0.05
O00271,P0133,1,0.05
O00272,P0054,4,0.0
O00272,P0046,1,0.0
O00273,P0186,2,0.0
O00274,P0145,1,0.15
O00274,P0196,1,0.0
O00275,P0090,1,0.0
O00275,P0029,2,0.0
O00276,P0020,2,0.05
O00277,P0101,1,0.1
O00277,P0146,1,0.15
O00278,P0177,4,0.15
O00279,P0015,1,0.0
O00280,P0087,1,0.0
O00280,P0161,1,0.0
O00281,P0182,1,0.1
O00282,P0106,1,0.0
O00282,P0151,1,0.0
O00283,P0118,1,0.05
O00283,P0012,1,0.1
O00283,P0120,2,0.0
O00284,P0181,1,0.1
O00284,P0042,2,0.0
O00284,P0158,1,0.0
O00285,P0080,3,0.2
O00286,P0130,2,0.0
O00287,P0083,4,0.2
O00288,P0169,1,0.1
O00288,P0024,1,0.0
O00289,P0192,4,0.0
O00289,P0180,1,0.1
O00289,P0147,1,0.0
O00289,P0062,1,0.0
O00290,P0167,1,0.0
O00291,P0005,1,0.0
O00291,P0026,1,0.2
O00291,P0058,3,0.0
O00291,P0067,1,0.1
O00292,P0025,3,0.05
O00292,P0004,2,0.05
O00292,P0151,3,0.05
O00293,P0119,1,0.0
O00293,P0172,1,0.05
O00293,P0124,2,0.0
O00294,P0091,4,0.1
O00294,P0010,1,0.15
O00295,P0031,1,0.0
O00296,P0189,1,0.0
O00296,P0140,1,0.0
O00296,P0003,4,0.0
O00297,P0042,2,0.15
O00298,P0142,3,0.15
O00298,P0084,2,0.0
O00298,P0151,3,0.0
O00298,P0137,4,0.05
O00299,P0167,1,0.1
O00299,P0022,1,0.1
O00300,P0077,1,0.1
O00300,P0079,1,0.0
O00300,P0142,3,0.05
O00301,P0097,2,0.0
O00301,P0084,2,0.05
O00301,P0167,2,0.15
O00302,P0068,3,0.1
O00302,P0134,3,0.15
O00303,P0136,1,0.1
O00304,P0100,1,0.05
O00304,P0191,1,0.0
O00305,P0139,2,0.0
O00305,P0007,2,0.0
O00306,P0101,3,0.2
O00307,P0065,3,0.2
O00308,P0032,1,0.0
O00308,P0116,1,0.05
O00309,P0138,1,0.05
O00309,P0133,2,0.05
O00310,P0013,3,0.1
O00310,P0034,1,0.15
O00311,P0093,4,0.0
O00311,P0175,1,0.1
O00312,P0144,1,0.2
O00312,P0155,1,0.15
O00313,P0082,1,0.1
O00313,P0194,1,0.05
O00313,P0097,1,0.1
O00314,P0089,2,0.0
O00314,P0071,4,0.15
O00315,P0024,2,0.1
O00316,P0084,1,0.0
O00316,P0068,5,0.15
O00316,P0193,1,0.0
O00317,P0173,2,0.05
O00317,P0085,1,0.05
O00318,P0150,2,0.15
O00318,P0135,1,0.0
O00319,P0020,1,0.05
O00320,P0141,4,0.05
O00321,P0150,1,0.15
O00322,P0159,4,0.0
O00322,P0081,2,0.05
O00322,P0162,1,0.0
O00323,P0054,2,0.15
O00324,P0082,1,0.1
O00324,P0164,1,0.0
O00325,P0134,1,0.15
O00325,P0150,5,0.1
O00326,P0128,3,0.05
O00327,P0026,5,0.05
O00328,P0134,1,0.05
O00329,P0016,3,0.15
O00329,P0037,1,0.15
O00329,P0146,1,0.05
O00330,P0184,1,0.15
O00330,P0059,4,0.15
O00331,P0076,1,0.0
O00331,P0173,2,0.15
O00332,P0111,2,0.15
O00332,P0041,1,0.0
O00332,P0088,1,0.1
O00333,P0087,3,0.05
O00333,P0193,4,0.0
O00334,P0052,2,0.0
O00334,P0195,2,0.2
O00335,P0002,4,0.1
O00336,P0018,1,0.0
O00337,P0081,1,0.05
O00338,P0011,1,0.0
O00339,P0132,2,0.2
O00340,P0119,1,0.1
O00341,P0194,2,0.05
O00342,P0063,1,0.0
O00342,P0102,1,0.05
O00343,P0066,1,0.05
O00344,P0056,3,0.0
O00345,P0194,1,0.1
O00345,P0198,5,0.05
O00345,P0080,4,0.1
O00346,P0015,1,0.05
O00346,P0162,2,0.1
O00347,P0129,1,0.0
O00347,P0096,2,0.0
O00348,P0044,1,0.15
O00349,P0037,2,0.05
O00349,P0030,3,0.05
O00350,P0133,3,0.0
O00351,P0063,4,0.15
O00351,P0161,1,0.0
O00351,P0188,2,0.05
O00352,P0155,1,0.05
O00353,P0154,1,0.05
O00354,P0118,1,0.0
O00354,P0090,1,0.0
O00355,P0127,4,0.1
O00355,P0158,4,0.05
O00356,P0064,2,0.05
O00356,P0118,1,0.0
O00357,P0196,2,0.05
O00357,P0043,2,0.0
O00357,P0078,1,0.0
O00358,P0035,1,0.0
O00358,P0074,3,0.0
O00359,P0082,1,0.1
O00359,P0092,1,0.05
O00360,P0091,1,0.15
O00360,P0024,1,0.0
O00361,P0159,4,0.0
O00361,P0100,4,0.05
O00362,P0014,1,0.05
O00362,P0006,1,0.0
O00363,P0034,1,0.2
O00363,P0166,4,0.0
O00364,P0025,3,0.0
O00364,P0116,2,0.0
O00364,P0034,3,0.05
O00365,P0199,2,0.1
O00366,P0149,1,0.05
O00366,P0011,1,0.0
O00367,P0179,1,0.0
O00368,P0126,1,0.15
O00368,P0155,3,0.05
O00368,P0078,2,0.05
O00369,P0114,1,0.1
O00369,P0060,1,0.05
O00369,P0168,4,0.05
O00370,P0090,1,0.15
O00371,P0064,2,0.05
O00371,P0142,3,0.05
O00372,P0074,2,0.1
O00373,P0147,1,0.15
O00374,P0095,1,0.1
O00374,P0197,4,0.0
O00375,P0053,2,0.05
O00376,P0141,2,0.05
O00376,P0132,1,0.2
O00377,P0043,2,0.05
O00377,P0042,3,0.0
O00378,P0082,3,0.0
O00378,P0192,1,0.0
O00379,P0106,2,0.0
O00379,P0027,3,0.1
O00380,P0109,1,0.05
O00381,P0024,2,0.05
O00382,P0098,2,0.0
O00382,P0187,1,0.05
O00383,P0174,2,0.2
O00383,P0151,1,0.0
O00384,P0171,2,0.0
O00384,P0047,1,0.0
O00384,P0183,2,0.0
O00384,P0103,1,0.0
O00385,P0169,1,0.15
O00385,P0012,4,0.0
O00386,P0058,2,0.1
O00386,P0060,1,0.1
O00386,P0089,3,0.0
O00386,P0145,2,0.05
O00387,P0083,3,0.1
O00388,P0151,2,0.1
O00388,P0083,4,0.1
O00389,P0050,3,0.0
O00390,P0049,2,0.0
O00390,P0188,2,0.0
O00391,P0015,1,0.05
O00391,P0075,2,0.05
O00391,P0097,3,0.05
O00392,P0003,5,0.0
O00392,P0027,1,0.05
O00393,P0005,1,0.05
O00393,P0019,1,0.15
O00394,P0180,1,0.0
O00394,P0171,1,0.0
O00395,P0159,1,0.0
O00395,P0091,4,0.0
O00396,P0107,5,0.05
O00396,P0098,2,0.05
O00396,P0025,3,0.15
O00397,P0137,3,0.0
O00398,P0171,1,0.05
O00398,P0035,1,0.0
O00399,P0102,2,0.0
O00399,P0103,1,0.1
O00400,P0147,4,0.0
O00400,P0098,1,0.0
O00401,P0042,1,0.15
O00402,P0136,2,0.0
O00402,P0107,1,0.1
O00403,P0162,1,0.05
O00404,P0175,3,0.0
O00404,P0044,4,0.05
O00405,P0196,1,0.0
O00405,P0093,4,0.05
O00406,P0093,2,0.0
O00406,P0162,1,0.0
O00407,P0061,2,0.1
O00408,P0120,1,0.1
O00409,P0128,1,0.0
O00409,P0002,2,0.0
O00410,P0146,1,0.05
O00410,P0019,1,0.2
O00411,P0164,1,0.1
O00412,P0181,1,0.0
O00412,P0061,1,0.1
O00412,P0047,1,0.05
O00413,P0062,1,0.0
O00413,P0064,1,0.0
O00413,P0072,2,0.0
O00414,P0149,2,0.0
O00414,P0160,1,0.0
O00414,P0119,2,0.05
O00415,P0124,1,0.05
O00416,P0140,1,0.05
O00417,P0045,1,0.05
O00417,P0071,1,0.05
O00417,P0129,1,0.1
O00417,P0138,1,0.0
O00418,P0088,5,0.0
O00418,P0060,1,0.05
O00419,P0056,1,0.0
O00420,P0101,1,0.0
O00420,P0005,1,0.15
O00421,P0171,2,0.15
O00421,P0178,1,0.0
O00422,P0033,2,0.15
O00422,P0199,5,0.05
O00423,P0174,1,0.05
O00423,P0121,1,0.1
O00424,P0084,2,0.05
O00425,P0113,2,0.1
O00426,P0168,1,0.15
O00427,P0150,1,0.2
O00427,P0060,1,0.05
O00428,P0104,1,0.1
O00429,P0179,2,0.05
O00430,P0200,1,0.05
O00430,P0055,1,0.0
O00430,P0131,5,0.1
O00431,P0001,3,0.05
O00432,P0006,2,0.15
O00433,P0030,3,0.05
O00434,P0149,1,0.05
O00434,P0145,2,0.0
O00434,P0159,1,0.05
O00434,P0047,5,0.1
O00435,P0073,3,0.05
O00435,P0175,2,0.0
O00436,P0180,1,0.05
O00437,P0157,1,0.1
O00437,P0196,5,0.0
O00438,P0177,3,0.0
O00439,P0078,4,0.0
O00439,P0181,1,0.0
O00440,P0072,1,0.05
O00441,P0056,1,0.1
O00442,P0070,3,0.15
O00443,P0160,2,0.0
O00444,P0195,1,0.0
O00444,P0036,1,0.0
O00444,P0075,3,0.05
O00445,P0122,2,0.1
O00445,P0021,1,0.05
O00446,P0008,2,0.15
O00447,P0003,4,0.05
O00447,P0087,1,0.05
O00448,P0062,4,0.0
O00449,P0016,1,0.05
O00450,P0015,1,0.1
O00450,P0129,3,0.05
O00451,P0022,1,0.1
O00451,P0039,1,0.0
O00452,P0172,5,0.05
O00453,P0011,3,0.1
O00453,P0186,2,0.0
O00454,P0092,1,0.0
O00454,P0115,2,0.05
O00454,P0125,2,0.05
O00454,P0082,4,0.0
O00455,P0192,4,0.0
O00456,P0059,2,0.0
O00456,P0142,4,0.0
O00457,P0036,1,0.1
O00457,P0049,2,0.0
O00458,P0179,2,0.05
O00458,P0126,2,0.1
O00458,P0156,1,0.0
O00459,P0151,3,0.2
O00459,P0192,2,0.05
O00459,P0188,1,0.15
O00460,P0009,3,0.15
O00460,P0154,1,0.0
O00461,P0039,2,0.05
O00462,P0183,1,0.0
O00463,P0082,1,0.0
O00463,P0195,1,0.05
O00463,P0018,1,0.05
O00464,P0032,5,0.0
O00465,P0173,2,0.05
O00465,P0028,3,0.15
O00465,P0036,2,0.1
O00466,P0196,1,0.1
O00466,P0020,1,0.0
O00466,P0129,3,0.0
O00466,P0023,2,0.0
O00467,P0181,1,0.05
O00467,P0185,3,0.05
O00467,P0165,1,0.05
O00467,P0076,2,0.1
O00468,P0070,2,0.0
O00468,P0096,1,0.1
O00468,P0114,1,0.0
O00469,P0082,1,0.1
O00469,P0086,1,0.1
O00469,P0145,3,0.0
O00470,P0124,1,0.1
O00470,P0064,5,0.1
O00470,P0165,4,0.05
O00471,P0114,2,0.0
O00471,P0180,4,0.1
O00472,P0067,1,0.05
O00472,P0128,1,0.05
O00472,P0064,1,0.1
O00473,P0071,2,0.0
O00473,P0197,2,0.1
O00474,P0171,3,0.0
O00474,P0199,2,0.15
O00475,P0177,1,0.2
O00475,P0197,1,0.0
O00476,P0112,5,0.0
O00477,P0112,2,0.0
O00478,P0053,2,0.05
O00479,P0192,3,0.05
O00479,P0123,2,0.0
O00480,P0133,1,0.0
O00480,P0162,5,0.0
O00480,P0036,2,0.0
O00481,P0012,2,0.0
O00482,P0084,2,0.1
O00483,P0199,2,0.05
O00483,P0035,1,0.15
O00484,P0010,2,0.0
O00485,P0159,2,0.0
O00485,P0116,1,0.1
O00486,P0141,1,0.1
O00487,P0094,4,0.0
O00487,P0175,3,0.05
O00488,P0071,3,0.05
O00488,P0068,1,0.0
O00488,P0190,1,0.05
O00489,P0129,1,0.0
O00489,P0151,1,0.0
O00490,P0017,1,0.0
O00490,P0127,2,0.2
O00491,P0080,1,0.1
O00491,P0025,1,0.05
O00491,P0199,4,0.0
O00492,P0112,1,0.2
O00492,P0073,1,0.1
O00493,P0130,1,0.05
O00494,P0103,4,0.15
O00494,P0107,2,0.1
O00495,P0012,1,0.0
O00496,P0065,1,0.05
O00497,P0061,2,0.0
O00498,P0022,1,0.0
O00498,P0088,3,0.1
O00499,P0193,1,0.0
O00499,P0108,2,0.0
O00500,P0150,2,0.0
O00500,P0004,2,0.15
O00501,P0147,1,0.1
O00502,P0123,2,0.05
O00503,P0181,1,0.0
O00503,P0076,2,0.0
O00504,P0181,1,0.0
O00505,P0065,4,0.0
O00505,P0026,1,0.05
O00506,P0175,2,0.05
O00506,P0017,2,0.05
O00506,P0183,1,0.1
O00507,P0081,1,0.1
O00507,P0123,1,0.0
O00508,P0067,1,0.0
O00508,P0135,3,0.15
O00509,P0155,3,0.0
O00509,P0173,1,0.05
O00510,P0178,4,0.0
O00510,P0167,2,0.1
O00510,P0146,1,0.1
O00511,P0177,1,0.05
O00512,P0195,1,0.0
O00513,P0159,1,0.15
O00514,P0042,2,0.05
O00515,P0068,1,0.05
O00515,P0074,2,0.1
O00515,P0063,3,0.1
O00516,P0025,2,0.0
O00517,P0111,2,0.05
O00517,P0031,4,0.0
O00517,P0105,3,0.0
O00518,P0124,1,0.0
O00519,P0017,2,0.0
O00519,P0192,2,0.15
O00520,P0158,1,0.15
O00521,P0004,5,0.0
O00522,P0183,1,0.0
O00522,P0193,1,0.1
O00523,P0109,2,0.1
O00523,P0173,1,0.15
O00524,P0039,1,0.0
O00525,P0143,4,0.05
O00525,P0191,4,0.15
O00525,P0180,1,0.0
O00526,P0142,1,0.0
O00526,P0122,1,0.05
O00526,P0005,3,0.05
O00526,P0099,2,0.0
O00527,P0145,3,0.0
O00527,P0036,2,0.0
O00528,P0147,4,0.1
O00528,P0140,2,0.05
O00528,P0060,1,0.0
O00528,P0044,5,0.05
O00529,P0091,1,0.0
O00529,P0037,2,0.0
O00530,P0101,1,0.1
O00530,P0086,2,0.05
O00531,P0132,1,0.05
O00531,P0066,1,0.0
O00531,P0074,1,0.1
O00532,P0159,1,0.0
O00533,P0036,1,0.1
O00533,P0005,2,0.05
O00533,P0029,4,0.15
O00534,P0028,5,0.05
O00534,P0040,2,0.05
O00534,P0199,2,0.05
O00535,P0011,1,0.15
O00536,P0021,2,0.15
