product_id,product_name,category,sub_category,unit_cost,unit_price
P0159,Jeans,Fashion,Men's Wear,4893.44,8917.99
P0160,Formal Shoes,Fashion,Footwear,5220.52,7009.16
P0161,Storage Cabinet,Home & Kitchen,Storage,212.8,357.53
P0162,Ergonomic Chair,Furniture,Chairs,9339.09,20210.56
P0163,Running Shoes,Fashion,Footwear,7316.93,11010.47
P0164,Saucepan,Home & Kitchen,Cookware,163.85,288.19
P0165,Gaming Laptop,Electronics,Laptops,24941.37,54308.05
P0166,Wall Clock,Home & Kitchen,Decor,629.72,1176.34
P0167,Travel Bag,Fashion,Bags,3508.92,5543.56
P0168,27-inch Monitor,Electronics,Monitors,830.38,1065.63
P0169,Formal Shoes,Fashion,Footwear,883.3,1179.48
P0170,Cable Organizer,Office Supplies,Organizers,3338.25,5109.47
P0171,Drawer Unit,Home & Kitchen,Storage,3488.64,5979.14
P0172,Work Table,Furniture,Tables,23101.22,29812.13
P0173,USB Hub,Electronics,Accessories,40937.6,52805.01
P0174,Photo Paper,Office Supplies,Paper,40.36,72.52
P0175,Laptop Bag,Fashion,Bags,3108.61,4636.85
P0176,Top,Fashion,Women's Wear,951.98,1327.82
P0177,Work Table,Furniture,Tables,8614.87,11822.19
P0178,Formal Shoes,Fashion,Footwear,2246.68,4630.97
P0179,Jacket,Fashion,Men's Wear,280.53,367.79
P0180,Photo Paper,Office Supplies,Paper,48.03,66.1
P0181,Premium Paper,Office Supplies,Paper,5040.33,7870.57
P0182,Kurti,Fashion,Women's Wear,185.96,302.87
P0183,Travel Bag,Fashion,Bags,546.44,1187.39
P0184,Photo Paper,Office Supplies,Paper,220.56,323.13
P0185,Running Shoes,Fashion,Footwear,219.03,379.57
P0186,Standing Desk,Furniture,Desks,7798.57,10823.4
P0187,Cookware Set,Home & Kitchen,Cookware,126.7,243.32
P0188,Stapler,Office Supplies,Stationery,3260.24,4616.51
P0189,UltraBook Laptop,Electronics,Laptops,3489.96,4490.48
P0190,File Organizer,Office Supplies,Organizers,5161.53,10365.23
P0191,Dress,Fashion,Women's Wear,767.64,1165.34
P0192,Sneakers,Fashion,Footwear,5909.94,11648.01
P0193,Travel Bag,Fashion,Bags,1052.84,1686.06
P0194,Laser Printer,Office Supplies,Printers,9153.46,12191.76
P0195,File Organizer,Office Supplies,Organizers,1366.51,2281.11
P0196,Photo Frame,Home & Kitchen,Decor,162.74,224.36
P0197,Top,Fashion,Women's Wear,681.54,1192.24
P0198,Formal Shirt,Fashion,Men's Wear,837.59,1432.38
P0199,Cookware Set,Home & Kitchen,Cookware,1862.54,3356.74
P0200,Storage Rack,Furniture,Storage,935.69,1460.59
